candidate_id,req_id,applied_at,source,final_outcome
C2000,R1084,2024-03-06,Job Board,Rejected
C2001,R1004,2024-07-04,LINKEDIN,Withdrawn
C2002,R1087,2024-09-05,Referral,Withdrawn
C2003,R1039,2024-02-09,linkedin,Rejected
C2004,R1138,2024-09-26,Job Board ,Rejected
C2005,R1033,2024-11-01,AGENCY,Rejected
C2006,R1042,2024-08-12,Job Board,Rejected
C2007,R1060,2024-08-15,LinkedIn,Rejected
C2008,R1061,2024-06-07,Agency,Rejected
C2009,R1146,2024-08-13, Agency,Rejected
C2010,R1128,2024-09-27,AGENCY,Rejected
C2011,R1035,2024-05-08,Job Boaard,Rejected
C2012,R1141,2024-02-22, Job Board,Hired
C2013,R1041,2024-05-19,AGENCY,Rejected
C2014,R1023,2024-04-23,Agency ,Withdrawn
C2015,R1106,2024-01-28,Agency ,Rejected
C2016,R1020,2024-07-10,Referral,Rejected
C2017,R1025,2024-12-31,LINKEDIN,Hired
C2018,R1073,2024-08-29,Referraal,Rejected
C2019,R1001,2024-02-10, Job Board,Rejected
C2020,R1038,2024-10-07,agency,Rejected
C2021,R1060,2024-06-03,Job Board,Rejected
C2022,R1117,2024-02-02,Job Boaard,Rejected
C2023,R1004,2024-11-19,REFERRAL,Rejected
C2024,R1000,2024-11-10,Linkedin,Rejected
C2025,R1047,2024-12-06,Job Board ,Hired
C2026,R1134,2024-10-05,Job Board,Rejected
C2027,R1011,2024-11-21,Agency ,Rejected
C2028,R1004,2024-07-01,Job Board ,Rejected
C2029,R1026,2024-10-24,LINKEDIN,Hired
C2030,R1139,2024-06-22,Referraal,Withdrawn
C2031,R1122,2024-11-19,REFERRAL,Hired
C2032,R1117,2024-01-19,Linkedin,Hired
C2033,R1051,2024-01-22, LinkedIn,Rejected
C2034,R1139,2024-08-30,LinkedIn,Rejected
C2035,R1048,2024-05-26,LinkedIn,Rejected
C2036,R1084,2024-05-19,Job Board ,Rejected
C2037,R1102,2024-08-13,Agency ,Withdrawn
C2038,R1127,2024-12-20,Agency ,Withdrawn
C2039,R1132,2024-05-16,Job Board,Hired
C2040,R1046,2024-10-06,LinkedIn ,Hired
C2041,R1083,2024-12-04, LinkedIn,Rejected
C2042,R1109,2024-03-26,Agency ,Rejected
C2043,R1090,2024-11-10, Agency,Rejected
C2044,R1014,2024-02-08,Agency ,Rejected
C2045,R1040,2024-01-16,Referraal,Hired
C2046,R1017,2024-04-30,LinkedIn ,Rejected
C2047,R1145,2024-01-17,Referraal,Withdrawn
C2048,R1095,2024-08-15,JOB BOARD,Rejected
C2049,R1101,2024-06-09,Linkedin,Withdrawn
C2050,R1006,2024-04-05,Ageency,Withdrawn
C2051,R1030,2024-05-14,LinkedIn,Rejected
C2052,R1073,2024-12-21,Agency,Hired
C2053,R1018,2024-08-19,Referraal,Withdrawn
C2054,R1081,2024-12-07,linkedin,Rejected
C2055,R1074,2024-06-02,REFERRAL,Rejected
C2056,R1130,2024-04-24,Job board,Rejected
C2057,R1060,2024-09-09,Job Board ,Rejected
C2058,R1094,2024-08-27,referral,Hired
C2059,R1101,2024-09-02,Ageency,Rejected
C2060,R1018,2024-03-05,linkedin,Rejected
C2061,R1132,2024-06-25,REFERRAL,Rejected
C2062,R1033,2024-08-09,job board,Rejected
C2063,R1077,2024-03-25,Referral ,Withdrawn
C2064,R1057,2024-06-26,linkedin,Rejected
C2065,R1141,2024-05-20, Referral,Rejected
C2066,R1023,2024-09-14,REFERRAL,Rejected
C2067,R1086,2024-10-15,Job Board,Hired
C2068,R1147,2024-05-15,Reeferral,Rejected
C2069,R1007,2024-09-11, LinkedIn,Rejected
C2070,R1103,2024-06-01,agency,Rejected
C2071,R1040,2024-08-13,Agency,Rejected
C2072,R1087,2024-11-06,Referral ,Rejected
C2073,R1081,2024-06-25,AGENCY,Rejected
C2074,R1131,2024-10-14,Job Board ,Rejected
C2075,R1031,2024-05-16,Agency,Hired
C2076,R1012,2024-05-28,Ageency,Rejected
C2077,R1040,2024-06-16,Linkedin,Rejected
C2078,R1127,2024-09-20,Agency,Rejected
C2079,R1127,2024-01-12,Job Board,Rejected
C2080,R1061,2024-04-20,LinkedIn,Hired
C2081,R1126,2024-11-01, Agency,Rejected
C2082,R1027,2024-08-08, Referral,Rejected
C2083,R1103,2024-07-06,Job Board,Hired
C2084,R1143,2024-04-09, LinkedIn,Hired
C2085,R1129,2024-08-18,linkedin,Hired
C2086,R1024,2024-07-20,LinkedIn ,Rejected
C2087,R1093,2024-03-14,Reeferral,Rejected
C2088,R1011,2024-01-20,Referral ,Rejected
C2089,R1132,2024-08-21,REFERRAL,Rejected
C2090,R1081,2024-03-24, Agency,Rejected
C2091,R1129,2024-09-17, Agency,Rejected
C2092,R1004,2024-07-07,linkedin,Withdrawn
C2093,R1149,2024-06-06,Job Boaard,Rejected
C2094,R1148,2024-10-22,Referral,Rejected
C2095,R1043,2024-09-25,AGENCY,Rejected
C2096,R1062,2024-01-17,Job board,Hired
C2097,R1080,2024-08-02,Reeferral,Rejected
C2098,R1105,2024-09-13,Agency,Rejected
C2099,R1132,2024-04-16,LinkedIn,Rejected
C2100,R1080,2024-03-29,Agency ,Rejected
C2101,R1067,2024-11-08,Agency,Withdrawn
C2102,R1071,2024-10-12,Linkedin,Withdrawn
C2103,R1076,2024-05-27,Referraal,Rejected
C2104,R1089,2024-10-13, LinkedIn,Hired
C2105,R1139,2024-07-13,Agency ,Withdrawn
C2106,R1037,2024-05-28, Job Board,Withdrawn
C2107,R1020,2024-06-26, Agency,Rejected
C2108,R1054,2024-04-13, LinkedIn,Hired
C2109,R1061,2024-05-04,Job board,Rejected
C2110,R1013,2024-02-21,Agency ,Rejected
C2111,R1025,2024-12-14,Referral,Withdrawn
C2112,R1040,2024-07-27,Agency,Rejected
C2113,R1073,2024-06-13,LinkedIn,Withdrawn
C2114,R1022,2024-11-29,Referral,Withdrawn
C2115,R1044,2024-08-01,Referral,Withdrawn
C2116,R1101,2024-09-10, Referral,Rejected
C2117,R1002,2024-06-01,Job Board ,Rejected
C2118,R1139,2024-09-25,AGENCY,Rejected
C2119,R1119,2024-05-19,referral,Rejected
C2120,R1117,2024-11-27,LINKEDIN,Hired
C2121,R1086,2024-05-31,REFERRAL,Rejected
C2122,R1103,2024-08-06,linkedin,Rejected
C2123,R1024,2024-04-04,Referraal,Rejected
C2124,R1063,2024-01-04,LinkeedIn,Rejected
C2125,R1068,2024-06-17,LinkedIn,Rejected
C2126,R1092,2024-12-20,Referral,Rejected
C2127,R1119,2024-06-06,Reeferral,Rejected
C2128,R1079,2024-12-19, Job Board,Rejected
C2129,R1056,2024-04-22,Referraal,Rejected
C2130,R1095,2024-07-31,Agency,Rejected
C2131,R1020,2024-09-26,Agency ,Hired
C2132,R1144,2024-02-27,Job board,Rejected
C2133,R1038,2024-03-25,LinkedIn,Hired
C2134,R1052,2024-10-25,agency,Rejected
C2135,R1114,2024-01-29,AGENCY,Rejected
C2136,R1116,2024-10-15,Job Boaard,Rejected
C2137,R1078,2024-01-12, Agency,Rejected
C2138,R1055,2024-10-23,Job Board,Rejected
C2139,R1016,2024-10-04,job board,Withdrawn
C2140,R1120,2024-01-17,LinkeedIn,Rejected
C2141,R1034,2024-11-24,Agency ,Withdrawn
C2142,R1097,2024-08-17,Ageency,Hired
C2143,R1138,2024-03-09,linkedin,Rejected
C2144,R1137,2024-07-20,Referral,Rejected
C2145,R1005,2024-06-01,Ageency,Rejected
C2146,R1058,2024-05-06,Agency ,Rejected
C2147,R1048,2024-02-27,Job Board,Rejected
C2148,R1004,2024-05-03,referral,Hired
C2149,R1008,2024-08-16,Job board,Rejected
C2150,R1102,2024-08-12,Referral,Rejected
C2151,R1014,2024-03-12,Linkedin,Rejected
C2152,R1147,2024-06-12,Linkedin,Rejected
C2153,R1036,2024-12-04,Reeferral,Rejected
C2154,R1015,2024-10-12,Reeferral,Rejected
C2155,R1012,2024-06-25,Agency ,Rejected
C2156,R1104,2024-03-17,LinkeedIn,Rejected
C2157,R1137,2024-08-30,Referral,Rejected
C2158,R1036,2024-08-25,Job Board,Withdrawn
C2159,R1142,2024-09-28,Reeferral,Rejected
C2160,R1052,2024-06-18,Job Boaard,Rejected
C2161,R1023,2024-10-01,Referral,Rejected
C2162,R1010,2024-02-07,Referral,Rejected
