interview_id,candidate_id,req_id,interview_date,interview_type,interviewer_role,skill_focus,interview_score,recommendation
I3000,C4039,R1147,2024-02-27,Video Call , Ops Director, Leadership,2.7, Hire
I3001,C3683,R1101,2024-05-29,Video call,Engineering Leaad,Problem Solving ,3.0,Strong Hiree
I3002,C4393,R1126,2024-01-06,In-Person, Engineering Lead,Personality,4.5,Hiree
I3003,C3338,R1121,2024-07-23,phone,RECRUITER,LEADERSHIP,4.9,Strong Hiree
I3004,C3187,R1076,2024-01-01,In-Person,RECRUITER, Personality,3.4,Strong hire
I3005,C4278,R1017,2024-05-14,In-person,Recruiter , Leadership,4.2,Hire
I3006,C2434,R1084,2024-01-07,In-Person ,Marketing manager,TECHNICAL SKILLS,4.8,Neutral 
I3007,C2193,R1035,2024-10-30,Phone,Recruiter ,Teeamwork,4.4,neutral
I3008,C4443,R1064,2024-08-12,Video call,Recruiter , Leadership,2.7,No hire
I3009,C4217,R1136,2024-11-30, In-Person,Maarketing Manager,Problem Solving,3.8,Neutral
I3010,C2484,R1114,2024-07-09,In-Person,HR Direector,Teamwork,2.6,Hiree
I3011,C4817,R1031,2024-11-03,Phone, HR Director, Personality,4.9,NO HIRE
I3012,C4438,R1132,2024-03-25,Phonee, Marketing Manager,Teamwork ,4.9,Neutral 
I3013,C3232,R1105,2024-03-11,Phonee,HR DIRECTOR,Technical Skills ,4.8,Neutraal
I3014,C3291,R1054,2024-08-13,VIDEO CALL,HR DIRECTOR,Technical Skills,3.3, Hire
I3015,C2120,R1117,2024-11-01,Video Caall,Engineering Leaad, Leadership,3.9,No Hire 
I3016,C2912,R1125,2024-09-07,In-Peerson,ENGINEERING LEAD,Technical skills,3.8,No Hire
I3017,C2335,R1035,2024-05-07, Phone,Engineering Lead ,communication,2.9,Strong Hire
I3018,C3615,R1130,2024-09-10,PHONE,recruiter,Teaamwork,3.1,Hire
I3019,C2643,R1024,2024-03-28, Video Call,Ops director,Problem Solving ,3.9,No Hire 
I3020,C2741,R1108,2024-09-07, In-Person,HR Director ,Communication ,2.8,Strong Hire 
I3021,C3508,R1100,2024-06-06,in-person,marketing manager,Technical Skills ,4.8,Strong Hire 
I3022,C4454,R1099,2024-07-01, Phone,Maarketing Manager, Personality,3.7,No hire
I3023,C2578,R1046,2024-04-12,Video Caall, Ops Director,Technicaal Skills,2.8,No Hire
I3024,C3064,R1125,2024-04-09,Video call,Recruiter ,Communicaation,3.8,Strong hire
I3025,C2511,R1080,2024-08-06,In-person,marketing manager,adaptability,4.2,HIRE
I3026,C2153,R1036,2024-10-05,In-Person,OPS DIRECTOR,adaptability,3.4,Hire
I3027,C3946,R1045,2024-03-03,Phone,Engineeering Lead,Communication ,4.2,NO HIRE
I3028,C3823,R1109,2024-09-19, In-Person,Marketing Manager ,Adaptability,4.8,Hire
I3029,C2204,R1003,2024-09-11,phone,Engineeering Lead,Teaamwork,3.0,No Hiree
I3030,C2358,R1087,2024-04-24,In-Person,Markeeting Manager,Communication,4.0, Strong Hire
I3031,C2859,R1000,2024-11-08,VIDEO CALL, Ops Director,Leeadership,3.2,No Hire
I3032,C4406,R1079,2024-12-16,In-Person,recruiter,Technical Skills ,3.7,Strong hire
I3033,C4903,R1052,2024-03-28,VIDEO CALL,recruiter,Probleem Solving,4.2, No Hire
I3034,C4664,R1021,2024-10-14,Videeo Call, Engineering Lead,Problem Solving,4.0,NEUTRAL
I3035,C3519,R1103,2024-04-01,Video Call ,Ops Director ,ADAPTABILITY,4.9,Strong Hire
I3036,C2587,R1094,2024-11-23,Phone,Ops Director,teamwork,4.6,No hire
I3037,C4492,R1117,2024-02-20,video call,Marketing Manager, Personality,4.8,No Hire 
I3038,C3089,R1016,2024-04-03,Phonee,MARKETING MANAGER,Probleem Solving,5.0,strong hire
